,time,temperature_2m (°C),rain (mm),snowfall (cm),windspeed_10m (km/h),Unnamed: 5,month,dayofweek,hour,LocationID,passenger_count
229,2022-02-01 04:00:00,-10.8,0.0,0.0,12.0,,2,1,4,103,1.0
326,2022-02-01 06:00:00,-12.5,0.0,0.0,12.2,,2,1,6,103,1.0
385,2022-02-01 07:00:00,-12.0,0.0,0.0,9.8,,2,1,7,103,1.0
446,2022-02-01 08:00:00,-12.8,0.0,0.0,9.7,,2,1,8,103,6.0
507,2022-02-01 09:00:00,-13.2,0.0,0.0,10.0,,2,1,9,103,2.0
568,2022-02-01 10:00:00,-13.4,0.0,0.0,9.5,,2,1,10,103,2.0
629,2022-02-01 11:00:00,-13.7,0.0,0.0,9.5,,2,1,11,103,3.0
692,2022-02-01 12:00:00,-13.8,0.0,0.0,9.0,,2,1,12,103,2.0
754,2022-02-01 13:00:00,-12.6,0.0,0.0,8.4,,2,1,13,103,1.0
816,2022-02-01 14:00:00,-9.9,0.0,0.0,8.4,,2,1,14,103,1.0
879,2022-02-01 15:00:00,-8.3,0.0,0.0,8.4,,2,1,15,103,1.0
1316,2022-02-01 22:00:00,-2.4,0.0,0.0,8.7,,2,1,22,103,3.0
1883,2022-02-02 08:00:00,-2.6,0.0,0.0,4.3,,2,2,8,103,5.0
1945,2022-02-02 09:00:00,-2.3,0.0,0.0,4.3,,2,2,9,103,2.0
2009,2022-02-02 10:00:00,-2.5,0.0,0.0,4.3,,2,2,10,103,14.0
2072,2022-02-02 11:00:00,-2.4,0.0,0.0,4.3,,2,2,11,103,18.0
2258,2022-02-02 14:00:00,1.5,0.0,0.0,4.3,,2,2,14,103,4.0
2321,2022-02-02 15:00:00,3.2,0.0,0.0,4.3,,2,2,15,103,2.0
2385,2022-02-02 16:00:00,3.2,0.0,0.0,4.3,,2,2,16,103,2.0
2449,2022-02-02 17:00:00,3.6,0.0,0.0,4.3,,2,2,17,103,1.0
3351,2022-02-03 08:00:00,2.4,0.0,0.0,8.4,,2,3,8,103,4.0
3415,2022-02-03 09:00:00,2.6,0.0,0.0,9.1,,2,3,9,103,6.0
3479,2022-02-03 10:00:00,2.7,0.1,0.0,9.4,,2,3,10,103,1.0
3539,2022-02-03 11:00:00,2.8,0.3,0.0,8.9,,2,3,11,103,4.0
3600,2022-02-03 12:00:00,2.7,0.4,0.0,8.7,,2,3,12,103,2.0
3723,2022-02-03 14:00:00,2.5,0.6,0.0,8.2,,2,3,14,103,2.0
3786,2022-02-03 15:00:00,3.3,0.6,0.0,7.5,,2,3,15,103,1.0
3849,2022-02-03 16:00:00,3.4,0.6,0.0,8.4,,2,3,16,103,8.0
4099,2022-02-03 20:00:00,5.1,0.7,0.0,8.4,,2,3,20,103,1.0
4162,2022-02-03 21:00:00,3.4,0.8,0.0,7.9,,2,3,21,103,2.0
4226,2022-02-03 22:00:00,3.1,0.9,0.0,7.2,,2,3,22,103,1.0
4351,2022-02-04 00:00:00,3.7,1.1,0.0,9.7,,2,4,0,103,2.0
4533,2022-02-04 03:00:00,7.3,0.4,0.0,18.4,,2,4,3,103,1.0
4654,2022-02-04 05:00:00,9.3,0.8,0.0,21.1,,2,4,5,103,1.0
4771,2022-02-04 07:00:00,10.5,1.0,0.0,23.7,,2,4,7,103,6.0
4832,2022-02-04 08:00:00,10.7,1.5,0.0,22.1,,2,4,8,103,3.0
4895,2022-02-04 09:00:00,10.9,1.9,0.0,21.5,,2,4,9,103,1.0
5017,2022-02-04 11:00:00,11.1,0.8,0.0,21.3,,2,4,11,103,4.0
5079,2022-02-04 12:00:00,10.8,1.3,0.0,9.7,,2,4,12,103,2.0
5205,2022-02-04 14:00:00,3.7,0.9,0.0,19.4,,2,4,14,103,1.0
5266,2022-02-04 15:00:00,0.7,0.4,0.0,16.6,,2,4,15,103,1.0
5513,2022-02-04 19:00:00,-0.1,1.1,0.0,14.1,,2,4,19,103,1.0
5761,2022-02-04 23:00:00,-1.5,0.8,0.0,13.8,,2,4,23,103,2.0
5886,2022-02-05 01:00:00,-2.0,0.1,0.0,14.9,,2,5,1,103,1.0
6248,2022-02-05 07:00:00,-3.0,0.0,0.0,16.0,,2,5,7,103,4.0
6376,2022-02-05 09:00:00,-3.9,0.0,0.0,16.4,,2,5,9,103,7.0
6439,2022-02-05 10:00:00,-4.2,0.0,0.0,17.6,,2,5,10,103,8.0
6502,2022-02-05 11:00:00,-4.3,0.0,0.0,16.8,,2,5,11,103,3.0
6566,2022-02-05 12:00:00,-4.7,0.0,0.0,16.5,,2,5,12,103,14.0
6628,2022-02-05 13:00:00,-4.9,0.0,0.0,19.4,,2,5,13,103,3.0
6691,2022-02-05 14:00:00,-4.5,0.0,0.0,21.9,,2,5,14,103,3.0
6754,2022-02-05 15:00:00,-3.6,0.0,0.0,23.4,,2,5,15,103,3.0
6817,2022-02-05 16:00:00,-2.6,0.0,0.0,22.7,,2,5,16,103,3.0
7011,2022-02-05 19:00:00,-1.4,0.0,0.0,23.2,,2,5,19,103,2.0
7138,2022-02-05 21:00:00,-2.4,0.0,0.0,20.1,,2,5,21,103,1.0
7200,2022-02-05 22:00:00,-3.3,0.0,0.0,16.4,,2,5,22,103,5.0
7326,2022-02-06 00:00:00,-5.1,0.0,0.0,14.5,,2,6,0,103,1.0
7450,2022-02-06 02:00:00,-6.3,0.0,0.0,13.4,,2,6,2,103,1.0
7512,2022-02-06 03:00:00,-6.8,0.0,0.0,13.5,,2,6,3,103,6.0
7574,2022-02-06 04:00:00,-7.3,0.0,0.0,12.6,,2,6,4,103,1.0
