,LocationID,25th_percentile,50th_percentile,75th_percentile
0,4,10.0,21.0,38.0
1,12,2.0,5.0,11.0
2,13,25.0,56.0,77.0
3,24,98.0,333.0,502.0
4,41,293.0,1001.0,1588.0
5,42,145.0,447.0,709.0
6,43,192.0,932.0,1759.5
7,45,139.0,473.0,822.0
8,48,231.5,667.0,952.0
9,50,36.0,76.0,104.0
10,68,76.0,177.0,227.0
11,74,318.0,797.0,1224.0
12,75,299.25,909.0,1400.0
13,79,414.0,1144.0,1736.25
14,87,219.0,641.0,1025.0
15,88,192.0,534.0,953.0
16,90,807.0,2747.0,4406.0
17,100,490.75,1797.0,2476.0
18,103,2.0,5.0,11.0
19,107,218.0,686.0,980.0
20,113,224.0,811.0,1270.0
21,114,229.0,805.0,1471.0
22,116,232.0,790.0,1173.0
23,120,1.0,1.0,2.0
24,125,163.0,585.0,964.25
25,127,101.75,330.0,557.0
26,128,1.0,1.0,2.0
27,137,47.0,87.0,112.0
28,140,58.0,134.0,186.0
29,141,223.25,749.0,1113.0
30,142,495.5,2026.0,3172.5
31,143,237.5,1019.0,1508.0
32,144,313.0,1283.0,2657.0
33,148,519.25,1375.0,2040.0
34,151,121.0,486.0,705.0
35,152,108.0,404.0,638.0
36,153,40.0,119.0,179.0
37,158,21.0,66.0,99.0
38,161,1886.25,5208.0,7049.5
39,162,650.0,2319.5,3697.5
40,163,298.0,1126.0,1738.0
41,164,254.0,903.5,1297.0
42,166,316.0,1150.0,1749.0
43,170,78.0,216.0,277.0
44,186,1093.0,4228.5,5884.25
45,194,1.0,2.0,3.0
46,202,63.0,222.0,335.0
47,209,569.5,1539.0,2378.0
48,211,18.0,60.0,88.0
49,224,8.0,23.0,40.0
50,229,255.0,941.0,1481.0
51,230,514.0,2096.0,3441.0
52,231,425.0,1690.0,2828.5
53,232,126.0,367.0,530.0
54,233,42.0,110.0,143.0
55,234,796.0,3189.0,5044.0
56,236,331.0,1502.5,2419.0
57,237,610.0,2324.0,3921.0
58,238,383.0,1561.0,2370.0
59,239,131.0,565.0,812.0
60,243,243.5,903.0,1515.5
61,244,290.0,1082.0,1647.25
62,246,154.0,494.0,922.0
63,249,435.25,1255.0,2123.0
64,261,257.0,876.5,1556.0
65,262,34.0,93.0,151.0
66,263,194.0,681.0,1015.0
