addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,location_id,longitude,name,opening_hours,tags,website,zone,rating
New York,616,10009,East 9th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9795215 40.7258135),40.7258135,4,-73.9795215,Theresa Byrnes Gallery,Tu 13:30-17:00; Th 14:00-18:00; Fr 14:00-19:00; Sa 13:00-19:00; Su 14:00-17:00,gallery,http://www.theresabyrnes.com/,Alphabet City,4.5
New York,155,10009,Avenue C,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9778791 40.7257313),40.7257313,4,-73.9778791,Museum of Reclaimed Urban Space,"Tu,Th-Su 11:00-19:00",museum,https://morusnyc.org/,Alphabet City,4.5
New York,,10004,Battery Park,Searching for tranquility within the concrete jungle that is Manhattan? Look no further! This park provides a scenic sancturary away from the busy streets of New York City. Settle in and connect with Monther Nature,POINT(-74.01537862233573 40.703583270284206),40.70358327,12,-74.01537862,The Battery ,Mo-Su 6:00-00:00,park,https://www.thebattery.org/,Battery Park,4.5
New York,39,10280,Battery Place,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0177051 40.7057229),40.7057229,13,-74.0177051,Skyscraper Museum,Th-Sa 12:00-18:00,museum,https://skyscraper.org/,Battery Park City,4.5
New York,,10025,"West 100th Street, Riverside Dr","Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.97328385643567 40.79875781090438),40.79875781,151,-73.97328386,Firemen's Memorial,Mo-Su 24 hours,attraction,https://www.nycgovparks.org/parks/riverside-park/monuments/482,Manhattan Valley,4.5
New York,319,10025,West 107th Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.96896876849017 40.803080270673874),40.80308027,24,-73.96896877,Nicholas Roerich Museum,Tu-Fr 12:00-16:00 Sa-Su; 12:00-17:00,museum,https://www.roerich.org/,Bloomingdale,4.5
New York,253,10027,W 125th Street,"This theatre offers a vast range of creative and captivating performances,from timeless plays to contemporary musicals. A show at this theatre will be nothing short of spectacular!",POINT (-73.95003454557084 40.81007481450336),40.81007481,41,-73.95003455,Apollo Theater,"Depends on show time, see website",theatre,https://www.apollotheater.org/,Central Harlem,4.5
New York,466,10031,W 152nd Street,"This theatre offers a vast range of creative and captivating performances,from timeless plays to contemporary musicals. A show at this theatre will be nothing short of spectacular!",POINT (-73.94366653022809 40.82939533227008),40.82939533,116,-73.94366653,"Dance Theatre of Harlem
","Th-Fr 09:30-19:00, Su 9:30-5:30, Mo 9:30-19:00",theatre,https://www.dancetheatreofharlem.org/,Hamilton Heights,4.5
New York,898,10032,St Nicholas Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.94120073207611 40.83060499427437),40.83060499,116,-73.94120073,Sugar Hill Children's Museum of Art & Storytelling,"Th 17:30-20:00, Sa-Sun 10:00-15:00",museum,http://www.sugarhillmuseum.org/,Hamilton Heights,4.5
New York,1000,10028,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9634178 40.7793968),40.7793968,43,-73.9634178,The Metropolitan Museum of Art,10:00-17:00; Fr-Sa 10:00-21:00; We off,museum,https://www.metmuseum.org/,Central Park,4.5
