,id,addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,longitude,name,opening_hours,tags,website,coordinates,location_id,zone
0,5,,,10025.0,"West 100th Street, Riverside Dr",,POINT (-73.97328385643567 40.79875781090438),40.79875781,-73.97328386,Firemen's Memorial,Mo-Su 24 hours,attraction,https://www.nycgovparks.org/parks/riverside-park/monuments/482,POINT (-73.97328385643567 40.79875781090438),151,Manhattan Valley
1,30,New York,234,10036.0,West 42nd Street,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-73.9885078 40.756466),40.756466,-73.9885078,Ripley's Believe It or Not!,Mo-Su 09:00-01:00,attraction,https://ripleysnewyork.com,POINT (-73.9885078 40.756466),100,Garment District
2,31,New York,,10004.0,Statue of Liberty,,POINT (-74.04448967441175 40.68949342729324),40.68949343,-74.04448967,Statue of Liberty,Mo-Su 09:00-17:00,attraction,https://www.nps.gov/stli/index.htm,POINT (-74.04448967441175 40.68949342729324),103,Governor's Island/Ellis Island/Liberty Island
3,36,New York,414,10031.0,W 141st Street,,POINT (-73.94715219954486 40.82160404277699),40.82160404,-73.9471522,Hamilton Grange National Memorial,We-Su 10:00-17:00,attraction,http://www.nps.gov/hagr/index.htm,POINT (-73.94715219954486 40.82160404277699),152,Manhattanville
31,65,New York,615,10027.0,West 129th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9586445 40.8172422),40.8172422,-73.9586445,Miriam and Ira D. Wallach Art Gallery,We-Fr 12:00-20:00; Sa-Su 12:00-18:00,gallery,https://wallach.columbia.edu/,POINT (-73.9586445 40.8172422),152,Manhattanville
4,40,New York,251,10013.0,Spring Street,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-74.0054663 40.7257695),40.7257695,-74.0054663,Color Factory,"Mo, Th, Su 09:30-18:00; Tu 09:30-17:00; We off; Fr, Sa 09:30-20:00",attraction,http://colorfactory.co,POINT (-74.0054663 40.7257695),125,Hudson Sq
156,39,New York,278,10013.0,Spring Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0069355 40.7255756),40.7255756,-74.0069355,New York City Fire Museum,10:00-17:00,museum,http://www.nycfiremuseum.org/,POINT (-74.0069355 40.7255756),125,Hudson Sq
157,41,New York,75,10013.0,Varick Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0068809 40.7231769),40.7231769,-74.0068809,Jackie Robinson Museum,Th-Su 11:00-18:00; Dec 25 off,museum,https://www.jackierobinsonmuseum.org,POINT (-74.0068809 40.7231769),125,Hudson Sq
5,44,New York,240,10010.0,E 26th Street,,POINT (-73.98003627256129 40.74012964173791),40.74012964,-73.98003627,Holographic Studios,Mo-Fr 14:00-18:00,attraction,http://www.holographer.com/,POINT (-73.98003627256129 40.74012964173791),137,Kips Bay
6,69,New York,89,10017.0,East 42nd Street,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-73.9772748 40.7526474),40.7526474,-73.9772748,Grand Central Terminal,Mo-Su 05:30-02:00,attraction,https://www.grandcentralterminal.com/,POINT (-73.9772748 40.7526474),162,Midtown East
10,91,New York,405,10174.0,Lexington Avenue,,POINT (-73.97518270647976 40.75226675026014),40.75226675,-73.97518271,Chrysler Building,Mo-Fr 08:00-18:00,attraction,https://www.tishmanspeyer.com/projects-investments,POINT (-73.97518270647976 40.75226675026014),162,Midtown East
7,71,New York,350,10018.0,5th Avenue,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-73.9856589 40.748442),40.748442,-73.9856589,Empire State Building,Mo-Su 08:00-02:00,attraction,https://www.esbnyc.com/explore,POINT (-73.9856589 40.748442),164,Midtown South
8,72,New York,476,10018.0,5th Avenue,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-73.9822454 40.7532182),40.7532182,-73.9822454,New York Public Library,"Mo,Th 08:00-20:00; Tu,We 08:00-21:00; Fr 08:00-18:00; Sa 10:00-18:00; Su 10:00-17:00",attraction,https://www.nypl.org/locations/schwarzman,POINT (-73.9822454 40.7532182),164,Midtown South
9,83,New York,,10036.0,Manhattan,,POINT (-73.98551426775042 40.75813286295451),40.75813286,-73.98551427,Times Square,Mo-Su 24 hours,attraction,https://www.timessquarenyc.org/,POINT (-73.98551426775042 40.75813286295451),230,Times Sq/Theatre District
206,84,New York,245,10036.0,W 44th Street,,POINT (-73.98807845935355 40.75850669453854),40.75850669,-73.98807846,Majestic Theatre,"Depends on show time, see website",theatre,http://www.shubert.nyc/theatres/majestic/,POINT (-73.98807845935355 40.75850669453854),230,Times Sq/Theatre District
11,210,New York,130,10010.0,E 23rd Street,,POINT (-73.985212225661 40.73955255451449),40.73955255,-73.98521223,The Friends Experience,We-Fr 10:00-19:00; Sa-Su 10:00-19:00,attraction,https://www.friendstheexperience.com/new-york/?utm_source=google&utm_medium=localcards&utm_campaign=110671_nyc,POINT (-73.985212225661 40.73955255451449),107,Gramercy
187,209,New York,281,10010.0,Park Avenue Street,,POINT (-73.98673065962154 40.73964203796129),40.73964204,-73.98673066,Fotografiska Museum NYC,Su-We 09:00-21:00; Th-Sa 09:00-23:00,museum,https://www.fotografiska.com/nyc/,POINT (-73.98673065962154 40.73964203796129),107,Gramercy
198,81,New York,9,10003.0,Rutherford Place,,POINT (-73.98414126244339 40.73406107942849),40.73406108,-73.98414126,Stuyvesant Square Park,Mo-Su 07:00-23:00,park,http://www.nycgovparks.org/parks/stuyvesant-square,POINT (-73.98414126244339 40.73406107942849),107,Gramercy
