addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,geometry,location_id,zone
616,East 9th Street,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Theresa Byrnes,Tu 13:30-17:00; Th 14:00-18:00; Fr 14:00-19:00; Sa 13:00-19:00; Su 14:00-17:00,gallery,http://www.theresabyrnes.com/,POINT (-73.9795215 40.7258135),4,Alphabet City
155,Avenue C,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Reclaimed Urban Space,"Tu,Th-Su 11:00-19:00",museum,https://morusnyc.org/,POINT (-73.9778791 40.7257313),4,Alphabet City
,Battery Park,New York,10004,,The Battery ,Mo-Su 6:00-00:00,park,https://www.thebattery.org/,POINT(-74.017028 40.703277),12,Battery Park
39,Battery Place,New York,10280,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Skyscraper Museum,Th-Sa 12:00-18:00,museum,https://skyscraper.org/,POINT (-74.0177051 40.7057229),13,Battery Park City
,"West 100th Street, Riverside Dr",,10025,,Firemen's Memorial,Mo-Su 24 hours,attraction,https://www.nycgovparks.org/parks/riverside-park/monuments/482,POINT(-73.973338 40.798650),24,Bloomingdale
253,W 125th Street,New York,10027,,Apollo Theater,"Depends on show time, see website",theatre,https://www.apollotheater.org/,POINT(-73.950056 40.810018),41,Central Harlem
466,W 152nd Street,New York,10031,,"Dance Theatre of Harlem
","Th-Fr 09:30-19:00, Su 9:30-5:30, Mo 9:30-19:00",theatre,https://www.dancetheatreofharlem.org/,POINT(73.9437 40.8291),42,Central Harlem North
1000,5th Avenue,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Metropolitan Museum of Art,10:00-17:00; Fr-Sa 10:00-21:00; We off,museum,https://www.metmuseum.org/,POINT (-73.9634178 40.7793968),43,Central Park
,Mulberry Street & Baxter Street,New York,10013,,"Columbus Park
",Mo-Su 6:00-10:00,park,,POINT(-73.999996 40.715662),45,Chinatown
1260,6th Ave ,New York,10020,,Radio City Music Hall,"Depends on show time, see website",entertainment ,https://www.msg.com/radio-city-music-hall?cmp=van_radiocity,POINT(-73.979977 40.759976),48,Clinton East
86,West 46th Street,New York,10036,"Museum of Marine, Aircraft and Space",Intrepid Museum,Mo-Su 10:00-17:00,museum,https://www.intrepidmuseum.org/,POINT (-73.9995256 40.7645198),50,Clinton West
75,9th Avenue,New York,10011,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Chelsea Market,Mo-Sa 07:00-21:00; Su 08:00-20:00,attraction,http://chelseamarket.com/,POINT (-74.0069958 40.7429236),68,East Chelsea
453,West 17th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Ulrik Gallery,We-Sa 12:00-18:00,gallery,https://ulrik.nyc,POINT (-74.0061805 40.7439372),68,East Chelsea
1230,5th Ave,New York,10029,,El Museo del Barrio,Th-Su 11:00-17:00,museum,https://www.elmuseo.org/,POINT(-73.951406 40.793118),74,East Harlem North
1220,5th Avenue,New York,10029,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of the City of New York,Fr-Mo 10:00-17:00; Th 10:00-21:00,museum,https://www.mcny.org/,POINT (-73.9519079 40.792506),75,East Harlem South
1280,5th Avenue,New York,10029,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Africa Center,Su-Th 12:00-20:00,museum,https://www.theafricacenter.org/,POINT (-73.9493338 40.7963422),75,East Harlem South
188,East 2nd Street,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Karma Gallery,Tu-Sa 10:00-18:00,gallery,https://karmakarma.org,POINT (-73.9841125 40.7224564),79,East Village
516,East 6th Street,New York,,"A mutant art, class, and event space in the East Village.",Sixth Street Haunted House,"Sa,Su 14:00-19:00",gallery,https://sshh.nyc,POINT (-73.9830825 40.7249615),79,East Village
64,Avenue A,New York,10009,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,MARCH,Tu-Sa 11:00-18:00,gallery,https://www.marchgallery.org,POINT (-73.9845324 40.7244007),79,East Village
12,Fulton Street,New York,10038,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,South Street Seaport Museum,We-Su 11:00-17:00,museum,https://southstreetseaportmuseum.org/,POINT (-74.0036758 40.706628),87,Financial District North
54,Pearl Street,New York,10004,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Fraunces Tavern Museum,We-Su 12:00-17:00,museum,https://www.frauncestavernmuseum.org/,POINT (-74.0113536 40.7033867),88,Financial District South
1,Bowling Green,New York,10004,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,National Museum of the American Indian,Mo-Su 10:00-17:00,museum,https://americanindian.si.edu/,POINT (-74.0137472 40.7040265),88,Financial District South
119,West 23rd Street,New York,10011,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Poster House,"We-Mo 11:00-18:00, Tu off",museum,https://posterhouse.org/,POINT (-73.9933334 40.7435904),90,Flatiron
