,DOLocationID,25th_percentile,50th_percentile,75th_percentile
0,4,9.0,21.0,37.0
1,12,2.0,5.0,11.0
2,13,25.0,55.0,75.0
3,24,11.0,23.0,35.0
4,41,19.0,39.0,60.0
5,42,14.0,24.0,37.0
6,43,23.0,82.0,140.0
7,45,8.0,17.0,25.0
8,48,78.0,172.0,260.0
9,50,35.0,75.0,102.0
10,68,75.0,174.0,223.0
11,74,27.0,45.0,61.0
12,75,45.0,82.0,105.0
13,79,41.0,105.0,198.75
14,87,24.0,46.0,67.0
15,88,12.0,24.0,35.0
16,90,36.0,91.0,124.0
17,100,35.0,97.0,141.0
18,107,53.0,124.0,177.0
19,113,26.0,82.0,117.0
20,114,21.0,58.0,93.0
21,116,7.0,14.0,24.0
22,120,1.0,1.0,2.0
23,125,14.0,31.0,43.0
24,127,2.0,4.0,7.0
25,128,1.0,1.0,2.0
26,137,47.0,85.0,109.0
27,140,57.0,131.0,182.0
28,141,63.0,175.0,252.0
29,142,53.0,169.0,259.0
30,143,33.0,92.5,144.0
31,144,21.0,61.0,91.0
32,148,21.0,57.0,95.5
33,151,23.0,59.0,92.0
34,152,5.0,9.0,14.0
35,153,1.0,1.0,2.0
36,158,21.0,65.0,97.0
37,161,56.0,221.0,386.0
38,162,64.0,176.0,255.0
39,163,56.0,167.0,242.0
40,164,52.75,145.0,202.0
41,166,22.0,49.0,66.0
42,170,78.0,212.0,273.0
43,186,63.0,147.0,211.0
44,194,1.0,2.0,3.0
45,202,2.0,3.0,6.0
46,209,9.0,18.0,27.0
47,211,18.0,59.0,86.0
48,224,8.0,23.0,39.0
49,229,45.0,138.0,201.0
50,230,83.0,206.0,296.0
51,231,44.0,102.0,132.0
52,232,13.0,29.0,44.0
53,233,42.0,109.0,140.0
54,234,51.0,160.0,218.0
55,236,64.0,283.0,417.0
56,237,55.0,256.0,410.0
57,238,51.0,142.0,217.0
58,239,52.0,183.0,273.0
59,243,5.0,10.0,17.0
60,244,12.0,19.0,27.0
61,246,45.0,118.0,169.0
62,249,33.0,94.0,157.0
63,261,17.0,34.0,46.0
64,262,33.0,91.0,147.0
65,263,52.0,132.0,199.0
