,LocationID,25th_percentile,50th_percentile,75th_percentile
0,24,99.0,334.0,502.0
1,41,292.0,1002.0,1589.0
2,42,143.0,448.0,708.0
3,43,193.0,933.0,1758.0
4,45,140.0,475.0,823.0
5,48,228.0,664.0,948.75
6,74,316.0,795.5,1224.0
7,75,298.0,907.5,1400.0
8,79,413.0,1140.0,1730.0
9,87,220.0,641.5,1025.25
10,88,195.0,538.0,958.0
11,90,819.0,2781.0,4484.0
12,100,490.0,1795.0,2478.5
13,107,217.0,683.0,978.0
14,113,224.0,812.5,1272.0
15,114,232.0,805.0,1470.0
16,116,230.0,794.0,1174.0
17,125,167.0,586.0,966.0
18,127,100.0,328.0,554.0
19,141,220.0,747.0,1111.0
20,142,494.25,2026.0,3181.75
21,143,236.0,1017.0,1505.0
22,144,323.75,1286.5,2658.0
23,148,518.0,1370.0,2035.0
24,151,119.0,485.0,705.0
25,152,108.0,407.0,638.5
26,153,38.75,119.0,181.0
27,161,2134.0,5609.5,7999.75
28,162,696.25,2423.0,3881.75
29,163,296.0,1123.0,1738.0
30,164,252.5,903.0,1296.0
31,166,318.0,1151.5,1750.0
32,186,1234.5,4361.0,6301.0
33,202,64.0,223.0,335.0
34,209,586.0,1554.5,2396.0
35,229,254.25,941.0,1482.75
36,230,549.0,2150.5,3640.25
37,231,445.0,1726.0,2915.0
38,232,126.0,366.0,530.0
39,234,856.0,3330.0,5388.5
40,236,330.0,1500.0,2415.0
41,237,667.0,2413.0,4110.0
42,238,375.0,1558.0,2369.0
43,239,129.0,561.0,808.0
44,243,243.0,909.0,1516.0
45,244,289.0,1085.0,1649.0
46,246,152.0,492.0,919.75
47,249,437.0,1252.0,2118.75
48,261,259.0,883.0,1559.75
49,263,190.0,678.0,1014.0
