time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%)
2022-02-01T00:00,-5.8,67,-11,-10.6,0,0,0,0
2022-02-01T01:00,-7.1,70,-11.6,-12,0,0,0,1
2022-02-01T02:00,-8.6,73,-12.6,-13.7,0,0,0,7
2022-02-01T03:00,-9.8,75,-13.3,-15,0,0,0,26
2022-02-01T04:00,-10.8,77,-14,-16,0,0,0,34
2022-02-01T05:00,-11.6,78,-14.6,-17,0,0,0,24
2022-02-01T06:00,-12.5,80,-15.3,-17.9,0,0,0,0
2022-02-01T07:00,-12,76,-15.4,-17,0,0,0,0
2022-02-01T08:00,-12.8,76,-16.1,-17.8,0,0,0,0
2022-02-01T09:00,-13.2,77,-16.5,-18.3,0,0,0,0
2022-02-01T10:00,-13.4,77,-16.6,-18.4,0,0,0,2
2022-02-01T11:00,-13.7,77,-16.8,-18.8,0,0,0,2
2022-02-01T12:00,-13.8,77,-16.9,-18.8,0,0,0,0
2022-02-01T13:00,-12.6,75,-16.1,-17.4,0,0,0,0
2022-02-01T14:00,-9.9,69,-14.5,-14.7,0,0,0,0
2022-02-01T15:00,-8.3,69,-12.9,-13,0,0,0,0
2022-02-01T16:00,-4.8,68,-9.8,-9.4,0,0,0,0
2022-02-01T17:00,-2.3,68,-7.5,-6.5,0,0,0,10
2022-02-01T18:00,-1.1,69,-6.1,-5.2,0,0,0,25
2022-02-01T19:00,-0.5,69,-5.4,-4.6,0,0,0,28
2022-02-01T20:00,-0.4,73,-4.7,-4.3,0,0,0,22
2022-02-01T21:00,-1.1,81,-3.9,-4.5,0,0,0,17
2022-02-01T22:00,-2.4,86,-4.4,-6.4,0,0,0,26
2022-02-01T23:00,-3.1,87,-4.9,-7,0,0,0,49
2022-02-02T00:00,-3.8,88,-5.4,-7.1,0,0,0,65
2022-02-02T01:00,-4,88,-5.7,-8.1,0,0,0,66
2022-02-02T02:00,-4.1,88,-5.8,-8.1,0,0,0,72
2022-02-02T03:00,-4.2,89,-5.8,-7.8,0,0,0,78
2022-02-02T04:00,-4.1,90,-5.6,-7.7,0,0,0,80
2022-02-02T05:00,-3.5,90,-5,-6.7,0,0,0,82
2022-02-02T06:00,-2.7,89,-4.2,-6,0,0,0,72
2022-02-02T07:00,-2.5,89,-4.1,-5.8,0,0,0,80
2022-02-02T08:00,-2.6,90,-4,-5.9,0,0,0,100
2022-02-02T09:00,-2.3,90,-3.7,-5.6,0,0,0,100
2022-02-02T10:00,-2.5,91,-3.8,-5.7,0,0,0,81
2022-02-02T11:00,-2.4,91,-3.6,-5.7,0,0,0,73
2022-02-02T12:00,-2,91,-3.2,-5.2,0,0,0,62
2022-02-02T13:00,-0.4,90,-1.8,-3.4,0,0,0,71
2022-02-02T14:00,1.5,86,-0.6,-1.4,0,0,0,68
2022-02-02T15:00,3.2,85,1,0.6,0,0,0,80
2022-02-02T16:00,3.2,89,1.6,0.7,0,0,0,87
2022-02-02T17:00,3.6,90,2,1.2,0,0,0,93
2022-02-02T18:00,4.4,87,2.5,2,0,0,0,91
2022-02-02T19:00,4,90,2.5,1.7,0,0,0,93
2022-02-02T20:00,3.7,92,2.5,1.4,0,0,0,86
2022-02-02T21:00,3,95,2.3,0.7,0,0,0,100
2022-02-02T22:00,2.4,98,2.1,0,0,0,0,100
2022-02-02T23:00,2.1,99,1.9,-0.4,0,0,0,100
2022-02-03T00:00,1.9,100,1.8,-0.9,0,0,0,100
2022-02-03T01:00,1.8,100,1.8,-1,0,0,0,100
2022-02-03T02:00,1.8,100,1.8,-1.1,0,0,0,100
2022-02-03T03:00,1.6,100,1.6,-1.4,0,0,0,100
2022-02-03T04:00,1.8,100,1.8,-1,0,0,0,100
2022-02-03T05:00,1.9,100,1.9,-0.9,0,0,0,100
2022-02-03T06:00,2.1,100,2.1,-0.7,0,0,0,100
2022-02-03T07:00,2.3,100,2.3,-0.6,0,0,0,100
2022-02-03T08:00,2.4,100,2.4,-0.5,0,0,0,100
2022-02-03T09:00,2.6,100,2.6,-0.4,0,0,0,100
2022-02-03T10:00,2.7,100,2.7,-0.4,0.1,0.1,0,100
2022-02-03T11:00,2.8,99,2.7,-0.2,0.3,0.3,0,100
2022-02-03T12:00,2.7,99,2.6,-0.2,0.4,0.4,0,100
2022-02-03T13:00,2.6,99,2.4,-0.2,0.5,0.5,0,100
